height1,weight1,reach1,stance1,age1,slpm1,str_acc1,sapm1,str_def1,td_avg1,td_acc1,td_def1,sub_avg1,height2,weight2,reach2,stance2,age2,slpm2,str_acc2,sapm2,str_def2,td_avg2,td_acc2,td_def2,sub_avg2,result
0,0,0,0,25,5.62,49,3.31,0,1.09,41,89,0.0,0,0,0,0,25,3.15,48,3.64,0,2.12,37,53,0.5,1
0,0,0,0,25,3.15,48,3.64,0,2.12,37,53,0.5,0,0,0,0,25,5.62,49,3.31,0,1.09,41,89,0.0,0
0,0,0,0,25,3.53,46,2.38,0,0.0,0,50,0.0,0,0,0,0,25,5.27,49,4.29,0,0.36,23,62,0.4,1
0,0,0,0,25,5.27,49,4.29,0,0.36,23,62,0.4,0,0,0,0,25,3.53,46,2.38,0,0.0,0,50,0.0,0
0,0,0,0,25,2.59,46,2.89,0,0.75,66,33,0.0,0,0,0,0,25,3.14,45,3.14,0,2.26,41,46,1.3,1
0,0,0,0,25,3.14,45,3.14,0,2.26,41,46,1.3,0,0,0,0,25,2.59,46,2.89,0,0.75,66,33,0.0,0
0,0,0,0,25,4.44,49,3.09,0,1.96,38,58,1.2,0,0,0,0,25,6.21,48,6.27,0,1.78,43,61,0.7,1
0,0,0,0,25,6.21,48,6.27,0,1.78,43,61,0.7,0,0,0,0,25,4.44,49,3.09,0,1.96,38,58,1.2,0
0,0,0,0,25,5.6,45,6.19,0,0.71,50,50,0.5,0,0,0,0,25,1.49,48,1.38,0,3.44,66,0,1.7,1
0,0,0,0,25,1.49,48,1.38,0,3.44,66,0,1.7,0,0,0,0,25,5.6,45,6.19,0,0.71,50,50,0.5,0
0,0,0,0,25,5.67,55,3.91,0,1.83,32,62,0.0,0,0,0,0,25,2.48,42,4.08,0,1.31,35,52,1.1,1
0,0,0,0,25,2.48,42,4.08,0,1.31,35,52,1.1,0,0,0,0,25,5.67,55,3.91,0,1.83,32,62,0.0,0
0,0,0,0,25,7.49,67,3.46,0,2.51,42,66,1.7,0,0,0,0,25,4.82,43,6.06,0,3.24,55,46,0.7,1
0,0,0,0,25,4.82,43,6.06,0,3.24,55,46,0.7,0,0,0,0,25,7.49,67,3.46,0,2.51,42,66,1.7,0
0,0,0,0,25,3.69,52,3.4,0,1.91,50,83,1.3,0,0,0,0,25,1.68,43,1.42,0,1.53,36,58,0.4,1
0,0,0,0,25,1.68,43,1.42,0,1.53,36,58,0.4,0,0,0,0,25,3.69,52,3.4,0,1.91,50,83,1.3,0
0,0,0,0,25,4.59,50,3.04,0,1.19,36,67,0.8,0,0,0,0,25,3.41,53,3.26,0,0.46,60,53,0.0,1
0,0,0,0,25,3.41,53,3.26,0,0.46,60,53,0.0,0,0,0,0,25,4.59,50,3.04,0,1.19,36,67,0.8,0
0,0,0,0,25,4.27,46,3.29,0,1.9,33,100,2.9,0,0,0,0,25,3.83,45,3.5,0,1.56,21,65,0.2,1
0,0,0,0,25,3.83,45,3.5,0,1.56,21,65,0.2,0,0,0,0,25,4.27,46,3.29,0,1.9,33,100,2.9,0
0,0,0,0,25,4.78,48,3.48,0,0.54,13,62,0.1,0,0,0,0,25,3.29,39,4.06,0,2.33,37,71,0.2,1
0,0,0,0,25,3.29,39,4.06,0,2.33,37,71,0.2,0,0,0,0,25,4.78,48,3.48,0,0.54,13,62,0.1,0
0,0,0,0,25,6.84,52,4.53,0,0.16,11,69,0.2,0,0,0,0,25,4.46,43,3.78,0,2.24,38,90,0.1,1
0,0,0,0,25,4.46,43,3.78,0,2.24,38,90,0.1,0,0,0,0,25,6.84,52,4.53,0,0.16,11,69,0.2,0
0,0,0,0,25,3.14,52,2.06,0,2.62,60,75,0.3,0,0,0,0,25,5.58,41,3.59,0,1.06,29,87,0.0,1
0,0,0,0,25,5.58,41,3.59,0,1.06,29,87,0.0,0,0,0,0,25,3.14,52,2.06,0,2.62,60,75,0.3,0
0,0,0,0,25,4.42,46,4.13,0,0.14,14,83,0.0,0,0,0,0,25,3.65,46,3.81,0,0.47,51,92,0.1,1
0,0,0,0,25,3.65,46,3.81,0,0.47,51,92,0.1,0,0,0,0,25,4.42,46,4.13,0,0.14,14,83,0.0,0
0,0,0,0,25,5.04,46,2.46,0,0.34,25,92,0.0,0,0,0,0,25,4.11,41,3.73,0,0.41,35,54,0.6,1
0,0,0,0,25,4.11,41,3.73,0,0.41,35,54,0.6,0,0,0,0,25,5.04,46,2.46,0,0.34,25,92,0.0,0
0,0,0,0,25,5.39,55,4.61,0,4.19,39,70,1.5,0,0,0,0,25,2.87,35,5.19,0,0.0,0,40,0.0,1
0,0,0,0,25,2.87,35,5.19,0,0.0,0,40,0.0,0,0,0,0,25,5.39,55,4.61,0,4.19,39,70,1.5,0
0,0,0,0,25,4.09,47,2.96,0,2.08,56,16,0.7,0,0,0,0,25,3.11,49,3.66,0,0.49,12,100,0.0,1
0,0,0,0,25,3.11,49,3.66,0,0.49,12,100,0.0,0,0,0,0,25,4.09,47,2.96,0,2.08,56,16,0.7,0
0,0,0,0,25,3.71,45,3.63,0,2.61,44,75,0.6,0,0,0,0,25,6.39,50,5.49,0,2.21,54,71,0.3,1
0,0,0,0,25,6.39,50,5.49,0,2.21,54,71,0.3,0,0,0,0,25,3.71,45,3.63,0,2.61,44,75,0.6,0
0,0,0,0,25,3.26,42,4.07,0,0.31,66,77,0.2,0,0,0,0,25,4.26,43,3.34,0,3.77,49,75,0.1,1
0,0,0,0,25,4.26,43,3.34,0,3.77,49,75,0.1,0,0,0,0,25,3.26,42,4.07,0,0.31,66,77,0.2,0
0,0,0,0,25,6.43,52,2.49,0,1.2,30,78,0.0,0,0,0,0,25,2.5,44,5.17,0,0.5,20,64,0.0,1
0,0,0,0,25,2.5,44,5.17,0,0.5,20,64,0.0,0,0,0,0,25,6.43,52,2.49,0,1.2,30,78,0.0,0
0,0,0,0,25,6.02,47,5.57,0,0.21,25,67,0.1,0,0,0,0,25,3.86,48,5.35,0,0.77,22,74,0.0,1
0,0,0,0,25,3.86,48,5.35,0,0.77,22,74,0.0,0,0,0,0,25,6.02,47,5.57,0,0.21,25,67,0.1,0
0,0,0,0,25,4.74,40,4.96,0,3.03,39,73,0.0,0,0,0,0,25,3.38,49,3.82,0,0.63,66,72,0.3,1
0,0,0,0,25,3.38,49,3.82,0,0.63,66,72,0.3,0,0,0,0,25,4.74,40,4.96,0,3.03,39,73,0.0,0
0,0,0,0,25,0.68,40,4.29,0,0.0,0,0,0.0,0,0,0,0,25,4.81,52,4.75,0,1.86,34,61,0.0,1
0,0,0,0,25,4.81,52,4.75,0,1.86,34,61,0.0,0,0,0,0,25,0.68,40,4.29,0,0.0,0,0,0.0,0
0,0,0,0,25,5.06,45,3.34,0,1.28,34,63,0.3,0,0,0,0,25,2.82,54,3.64,0,1.69,35,58,1.4,1
0,0,0,0,25,2.82,54,3.64,0,1.69,35,58,1.4,0,0,0,0,25,5.06,45,3.34,0,1.28,34,63,0.3,0
0,0,0,0,25,3.25,60,2.21,0,4.74,38,66,1.4,0,0,0,0,25,2.36,59,2.11,0,3.34,53,100,2.9,1
0,0,0,0,25,2.36,59,2.11,0,3.34,53,100,2.9,0,0,0,0,25,3.25,60,2.21,0,4.74,38,66,1.4,0
0,0,0,0,25,7.39,48,5.39,0,0.55,54,63,0.1,0,0,0,0,25,4.78,41,4.68,0,0.6,27,71,0.0,1
0,0,0,0,25,4.78,41,4.68,0,0.6,27,71,0.0,0,0,0,0,25,7.39,48,5.39,0,0.55,54,63,0.1,0
0,0,0,0,25,3.22,53,1.39,0,3.24,62,68,0.4,0,0,0,0,25,5.11,53,3.88,0,0.99,46,84,0.0,1
0,0,0,0,25,5.11,53,3.88,0,0.99,46,84,0.0,0,0,0,0,25,3.22,53,1.39,0,3.24,62,68,0.4,0
0,0,0,0,25,4.49,39,4.26,0,1.58,25,20,1.3,0,0,0,0,25,5.1,39,4.13,0,0.0,0,57,0.0,1
0,0,0,0,25,5.1,39,4.13,0,0.0,0,57,0.0,0,0,0,0,25,4.49,39,4.26,0,1.58,25,20,1.3,0
0,0,0,0,25,5.56,41,4.46,0,4.24,52,80,0.0,0,0,0,0,25,3.15,40,3.14,0,1.11,38,62,0.4,1
0,0,0,0,25,3.15,40,3.14,0,1.11,38,62,0.4,0,0,0,0,25,5.56,41,4.46,0,4.24,52,80,0.0,0
0,0,0,0,25,4.42,58,3.07,0,0.87,50,53,0.1,0,0,0,0,25,2.62,44,3.05,0,1.97,30,56,1.2,1
0,0,0,0,25,2.62,44,3.05,0,1.97,30,56,1.2,0,0,0,0,25,4.42,58,3.07,0,0.87,50,53,0.1,0
0,0,0,0,25,7.59,61,4.48,0,2.59,33,100,0.0,0,0,0,0,25,5.76,71,2.51,0,1.57,14,100,1.6,1
0,0,0,0,25,5.76,71,2.51,0,1.57,14,100,1.6,0,0,0,0,25,7.59,61,4.48,0,2.59,33,100,0.0,0
0,0,0,0,25,2.86,48,2.86,0,2.74,40,41,0.9,0,0,0,0,25,4.51,46,3.01,0,0.27,50,61,0.3,1
0,0,0,0,25,4.51,46,3.01,0,0.27,50,61,0.3,0,0,0,0,25,2.86,48,2.86,0,2.74,40,41,0.9,0
0,0,0,0,25,2.7,37,4.53,0,3.15,35,100,0.5,0,0,0,0,25,3.28,49,2.4,0,0.66,100,42,0.0,1
0,0,0,0,25,3.28,49,2.4,0,0.66,100,42,0.0,0,0,0,0,25,2.7,37,4.53,0,3.15,35,100,0.5,0
0,0,0,0,25,3.74,59,2.94,0,4.42,66,100,0.6,0,0,0,0,25,3.22,43,3.61,0,0.59,38,46,0.0,1
0,0,0,0,25,3.22,43,3.61,0,0.59,38,46,0.0,0,0,0,0,25,3.74,59,2.94,0,4.42,66,100,0.6,0
